************************************************
*    Row   *   tau.tau * zeta.zeta * theta.the *
************************************************
*        0 *         0 *       0.9 *         0 *
*        1 * 0.2133769 * 0.9061655 * 0.2634030 *
*        2 * 0.4267539 * 0.9180585 * 0.5232349 *
*        3 * 0.6401309 * 0.9347603 * 0.7763792 *
*        4 * 0.8535078 * 0.9550886 * 1.0205576 *
*        5 * 1.0668848 * 0.9777554 * 1.2544543 *
*        6 * 1.2802618 * 1.0014976 * 1.4776326 *
*        7 * 1.4936388 * 1.0251655 * 1.6903554 *
*        8 * 1.7070157 * 1.0477640 * 1.8933694 *
*        9 * 1.9203927 * 1.0684668 * 2.0877221 *
*       10 * 2.1337697 * 1.0866079 * 2.2746142 *
*       11 * 2.3471467 * 1.1016704 * 2.4553213 *
*       12 * 2.5605236 * 1.1132680 * 2.6311199 *
*       13 * 2.7739006 * 1.1211229 * 2.8032754 *
*       14 * 2.9872776 * 1.1250620 *  2.973027 *
*       15 * 3.2006546 *     1.125 * 3.1415926 *
************************************************
